date,segment,sample.no,worms,crabs,mollusks,fishfry
19.12.19,27,1,2,0,0,0
19.12.19,27,2,16,0,0,0
19.12.19,27,3,13,0,0,0
19.12.19,27,4,8,0,0,0
19.12.19,27,5,3,0,0,0
19.12.19,27,6,6,0,0,0
21.12.19,9,1,2,0,0,0
21.12.19,9,2,2,0,0,0
21.12.19,9,3,1,0,0,0
21.12.19,9,4,1,0,0,0
21.12.19,9,5,0,0,0,0
21.12.19,9,6,0,0,0,0
28.12.19,5,1,2,0,0,0
28.12.19,5,2,1,0,0,0
28.12.19,5,3,5,0,0,0
28.12.19,5,4,7,0,0,0
28.12.19,5,5,8,0,0,0
28.12.19,5,6,8,0,0,0
29.12.19,2,1,1,1,0,0
29.12.19,2,2,3,0,0,0
29.12.19,2,3,4,0,0,0
29.12.19,2,4,7,0,0,0
29.12.19,2,5,6,0,0,0
29.12.19,2,6,4,0,0,1
31.12.19,20,1,2,1,2,0
31.12.19,20,2,0,1,3,0
31.12.19,20,3,0,0,0,0
31.12.19,20,4,3,1,2,0
31.12.19,20,5,5,0,0,0
31.12.19,20,6,0,0,4,0
1.1.20,16,1,5,0,0,0
1.1.20,16,2,6,0,0,0
1.1.20,16,3,2,0,0,1
1.1.20,16,4,2,0,0,0
1.1.20,16,5,1,0,0,0
1.1.20,16,6,0,1,0,0
2.1.20,1,1,5,2,2,0
2.1.20,1,2,1,3,1,0
2.1.20,1,3,2,1,3,0
2.1.20,1,4,0,0,0,0
2.1.20,1,5,0,0,5,0
2.1.20,1,6,0,0,4,0
16.1.20,162,1,4,0,0,0
16.1.20,162,2,3,3,0,0
16.1.20,162,3,5,0,0,0
16.1.20,162,4,3,0,0,0
16.1.20,162,5,0,0,0,0
16.1.20,162,6,2,0,0,0
17.1.20,165,1,5,0,0,0
17.1.20,165,2,4,0,0,0
17.1.20,165,3,3,0,0,0
17.1.20,165,4,3,3,0,0
17.1.20,165,5,3,0,0,0
17.1.20,165,6,5,0,0,0
18.1.20,160,1,3,0,0,0
18.1.20,160,2,5,0,0,0
18.1.20,160,3,6,0,0,0
18.1.20,160,4,4,0,0,0
18.1.20,160,5,2,0,0,0
18.1.20,160,6,2,0,0,0
19.1.20,150,1,0,2,1,0
19.1.20,150,2,0,0,0,0
19.1.20,150,3,0,2,0,0
19.1.20,150,4,0,1,0,0
19.1.20,150,5,0,1,1,0
19.1.20,150,6,3,0,0,0
20.1.20,117,1,17,3,0,0
20.1.20,117,2,11,2,0,0
20.1.20,117,3,12,4,0,0
20.1.20,117,4,18,3,0,0
20.1.20,117,5,17,2,0,0
20.1.20,117,6,17,0,0,0
28.1.20,7,1,4,3,0,0
