,GroupID,Station,Edge_Type,EXP,Replicate,OSO,ABO,CSO,OBO,BHO,SBEO,BWO,MSO,CO,BFO,Total_Ind,Total_Sp.,Tree.density,GBH,H,liana,p_lia
1,ASR,ASR3,SR,ST,2,0,2,0,0,0,0,0,0,0,0,2,1,117,30.35897,7.42735,55,47.00854701
2,ASR,ASR2,SR,ST,2,2,3,0,1,1,0,0,2,0,0,9,5,96,37.72917,7.9375,40,41.66666667
3,ASR,ASR1,SR,ST,2,2,1,1,0,1,0,0,1,0,0,6,5,131,31.54198,8.541985,38,29.00763359
4,ASR,ASR123,SR,GT,2,4,6,1,1,2,0,0,3,0,0,17,6,114.6666667,33.21004,7.968945,44.33333333,39.22761575
5,APE,APE1,PE,ST,2,0,0,1,0,1,0,0,0,0,0,2,2,35,29.94286,5.342857,19,54.28571429
6,APE,APE2,PE,ST,2,0,2,3,0,2,0,0,1,0,0,8,4,115,20.31304,5.191304,67,58.26086957
7,APE,APE3,PE,ST,2,0,1,0,0,0,0,0,0,0,0,1,1,86,27.01163,7.546512,32,37.20930233
8,APE,APE123,PE,GT,2,0,3,4,0,3,0,0,1,0,0,11,4,78.66666667,25.75584333,6.026891,39.33333333,49.91862873
9,BLR,BLR4,LR,ST,2,1,0,2,0,0,0,0,2,2,0,7,4,136,34.92647,10.04412,67,49.26470588
10,BLR,BLR6,LR,ST,2,2,0,0,0,0,0,0,0,1,0,3,2,86,29.61628,8.337209,31,36.04651163
11,BLR,BLR5,LR,ST,2,0,0,0,0,0,0,0,0,1,0,1,1,104,35.61538,9.672308,13,12.5
12,BLR,BLR456,LR,GT,2,3,0,2,0,0,0,0,2,4,0,11,4,108.6666667,33.38604333,9.351212333,37,32.60373917
13,ALR,ALR3,LR,ST,2,3,1,1,0,1,0,0,2,0,0,8,5,166,30.40361,9.126506,6,3.614457831
14,ALR,ALR2,LR,ST,2,2,1,0,0,3,0,0,2,0,0,8,4,130,32.52308,9.838462,36,27.69230769
15,ALR,ALR1,LR,ST,2,1,0,0,0,2,1,0,0,0,0,4,3,170,26.66471,6.635294,88,51.76470588
16,ALR,ALR123,LR,GT,2,6,2,1,0,6,1,0,4,0,0,20,6,155.3333333,29.8638,8.533420667,43.33333333,27.69049047
17,ELR,ELR15,LR,ST,1,0,1,0,0,0,0,0,0,0,0,1,1,109,32.41284,8.724771,8,7.339449541
