date,time,segment,scan.no,obs.sp,obs.no,foraging,preening,locomotion,resting,alert,remarks
19.12.19,12:48 PM,27,1,Eurasian Curlew,7,6,0,0,1,0,all species were spraded in the segment even during in every scan and even in the foraging period
19.12.19,12:48 PM,27,1,Whimbrel,1,1,0,0,0,0,three crab collectors
19.12.19,12:48 PM,27,1,Lesser Sand Plover,12,8,0,3,1,0,
19.12.19,1:18 PM,27,2,Eurasian Curlew,1,1,0,0,0,0,
19.12.19,1:18 PM,27,2,Lesser Sand Plover,9,7,0,0,2,0,
19.12.19,1:48 PM,27,3,Eurasian Curlew,3,3,0,0,0,0,
19.12.19,1:48 PM,27,3,Lesser Sand Plover,6,2,0,0,4,0,
19.12.19,2:18 PM,27,4,Eurasian Curlew,1,1,0,0,0,0,
19.12.19,2:18 PM,27,4,Lesser Sand Plover,2,0,1,0,1,0,
19.12.19,2:48 PM,27,5,Eurasian Curlew,2,2,0,0,0,0,
19.12.19,2:48 PM,27,5,Lesser Sand Plover,21,6,3,9,3,0,
19.12.19,2:48 PM,27,5,Common Sandpiper,1,1,0,0,0,0,
19.12.19,2:48 PM,27,5,Common Redshank,2,2,0,0,0,0,
19.12.19,3:18 PM,27,6,Eurasian Curlew,1,1,0,0,0,0,
19.12.19,3:18 PM,27,6,Whimbrel,2,2,0,0,0,0,
19.12.19,3:18 PM,27,6,Common Redshank,2,0,0,0,2,0,
19.12.19,3:18 PM,27,6,Lesser Sand Plover,33,10,0,10,13,0,
21.12.19,12:50 PM,9,1,Black-headed Ibis,7,6,1,0,0,0,"4 raptors (Brahminy kite), 2 fishermen, all species were spraded in the segment even during in every scan and even in the foraging period"
21.12.19,12:50 PM,9,1,Common Greenshank,4,4,0,0,0,0,
21.12.19,1:20 PM,9,2,Black-headed Ibis,26,16,0,0,10,0,"4 raptors, 3 fishermen"
21.12.19,1:20 PM,9,2,Common Greenshank,3,3,0,0,0,0,
21.12.19,1:20 PM,9,2,Eurasian Curlew,2,2,0,0,0,0,
21.12.19,1:50 PM,9,3,Black-headed Ibis,15,6,0,4,5,0,"4 raptors, 3 fishermen"
21.12.19,1:50 PM,9,3,Common Greenshank,2,2,0,0,0,0,
21.12.19,1:50 PM,9,3,Eurasian Curlew,1,,0,0,1,0,
21.12.19,2:20 PM,9,4,Black-headed Ibis,20,18,0,2,0,0,"5 raptors, 3 fishermen"
21.12.19,2:20 PM,9,4,Eurasian Curlew,2,2,0,0,0,0,
21.12.19,2:20 PM,9,4,Common Greenshank,2,2,0,0,0,0,
21.12.19,2:50 PM,9,5,Common Greenshank,2,1,1,0,0,0,"3 raptors, 3 fishermen"
21.12.19,2:50 PM,9,5,Eurasian Curlew,3,2,0,1,0,0,
21.12.19,2:50 PM,9,5,Black-headed Ibis,23,8,5,10,0,0,
21.12.19,3:20 PM,9,6,Black-headed Ibis,11,4,4,3,0,0,"5 raptors, 3 fishermen"
21.12.19,3:20 PM,9,6,Lesser Sand Plover,1,1,0,0,0,0,
21.12.19,3:20 PM,9,6,Common Greenshank,1,1,0,0,0,0,
21.12.19,3:20 PM,9,6,Common Redshank,3,3,0,0,0,0,
21.12.19,3:20 PM,9,6,Eurasian Curlew,4,3,1,0,0,0,
28.12.19,7:50 AM,5,1,Kentish Plover,2,2,0,0,0,0,all species were spraded in the segment even during in every scan and even in the foraging period
28.12.19,7:50 AM,5,1,Common Greenshank,2,2,0,0,0,0,
28.12.19,7:50 AM,5,1,Eurasian Curlew,5,5,0,0,0,0,
28.12.19,8:15 AM,5,2,Eurasian Curlew,11,11,0,0,0,0,
28.12.19,8:15 AM,5,2,Common Redshank,2,2,0,0,0,0,
28.12.19,8:15 AM,5,2,Common Greenshank,2,2,0,0,0,0,
28.12.19,8:40 AM,5,3,Eurasian Curlew,8,5,2,0,1,0,"1 fishermen, 2 raptors (Brahminy kite)"
28.12.19,8:40 AM,5,3,Common Greenshank,2,2,0,0,0,0,
28.12.19,8:40 AM,5,3,Common Redshank,3,3,0,0,0,0,
28.12.19,9:05 AM,5,4,Eurasian Curlew,11,8,0,0,3,0,
28.12.19,9:05 AM,5,4,Common Greenshank,2,2,0,0,0,0,
28.12.19,9:05 AM,5,4,Black-headed Ibis,1,1,0,0,0,0,
28.12.19,9:30 AM,5,5,Eurasian Curlew,14,10,0,0,4,0,
28.12.19,9:30 AM,5,5,Common Redshank,3,3,0,0,0,0,
28.12.19,9:30 AM,5,5,Lesser Sand Plover,2,2,0,0,0,0,
28.12.19,9:30 AM,5,5,Common Greenshank,2,2,0,0,0,0,
28.12.19,9:55 AM,5,6,Eurasian Curlew,9,9,0,0,0,0,
28.12.19,9:55 AM,5,6,Common Redshank,3,3,0,0,0,0,
28.12.19,9:55 AM,5,6,Lesser Sand Plover,1,1,0,0,0,0,
