obs.sp,pref
Asian Dowitcher,prefers worms
Bar-tailed Godwit,prefers worms
Black-headed Ibis,prefers other foods
Black-tailed Godwit,prefers worms
Broad-billed Sandpiper,prefers worms
Common Greenshank,prefers worms
Common Redshank,prefers worms
Common Sandpiper,prefers worms
Curlew Sandpiper,prefers worms
Dunlin,prefers worms
Eurasian Curlew,prefers other foods
Great Knot,prefers other foods
Great Thick-knee,prefers other foods
Grey-headed Lapwing,prefers other foods
Grey Plover,prefers worms
Kentish Plover,prefers other foods
Lesser Sand Plover,prefers worms
Little Ringed Plover,prefers worms
Little Stint,prefers worms
Nordmann's Greenshank/,prefers worms
Pacific Golden-Plover,prefers worms
Pied Avocet,prefers worms
Red Knot,prefers other foods
Ruddy Turnstone,prefers other foods
Ruff,prefers worms
Sanderling,prefers worms
Small Pratincole,prefers worms
Spoon-billed Sandpiper,prefers other foods
Temminck's Stint,prefers worms
Terek Sandpiper,prefers worms
Whimbrel,prefers other foods
